	Tweet
150	 Oversight and compliance are challenging when drug development processes are outsourced. Learn how @clinlogix is unifying traditionally siloed safety applications to ensure better visibility and traceability of safety data:  https://t.co/RDdsc2awPC  https://t.co/HGucGPlEIR
151	 Key considerations that will help #PV teams identify a unified #safety solution that helps make faster, more informed decisions.  https://t.co/sAz89f2fZX  https://t.co/7KCfJkppbR
152	 Bring your friends or family for some outdoor fun this New Year's Eve day in Boston! Stop by Veeva's 7ft. Happy New Year ice sculpture and pick up some goodies. Our sculpture will be at 121 Seaport Blvd. across from the Seaport Common. Learn more:  https://t.co/vZwquCx0WN.
153	 The world is seeing how critical #lifesciences is to society and human health. CEO Peter Gassner highlights what Veeva is doing to help companies develop and bring medicines to patients. Join the team and help make a difference!  https://t.co/aLRAEpN0FZ #nowhiring @MadMoneyOnCNBC  https://t.co/8nX2dsNlu2
154	 The swift adoption of #digitalengagement has opened the “digital doors” for better communications with HCPs. Read about it, via @PharmExec:  https://t.co/S6DHbGgTYm #lifesciences #biotechnology #pharma  https://t.co/Xzqdqb1NdP
155	 Digital engagement is here to stay, and #pharma marketers must be prepared to meet HCPs on their terms with relevant content through any channel, any device, at any time. Read more, via @PharmaVoice:  https://t.co/t0HRJsRe0b #digitalexcellence #HCPengagement
156	 Watch Veeva's presentation at this year's TMF Summit, where we shared innovative approaches to improve #collaboration with paperless #informationexchange:  https://t.co/gCaZgFMFvQ  https://t.co/mV7mtarJA8
157	 At #VeevaSummitOnline, @AstraZeneca shared their vision, strategy, and implementation approach to unified #clinical operations. Read the blog:  https://t.co/CfcwJ99MyH  https://t.co/p48ASQdnKh
158	 Key considerations that will help #PV teams identify a unified #safety solution that helps make faster, more informed decisions.  https://t.co/sAz89f2fZX  https://t.co/BAYAMDprLv
159	 [Article] Learn how artificial intelligence can improve the end-to-end #pharmacovigilance life cycle. Read now:  https://t.co/7wfYx0LUEi  https://t.co/Qhy0mT0vi7
160	 We love it when our employees share their passion and creativity. Javier Fernandez, a Senior Consultant in Mexico, shared his depiction of why he works at Veeva -- and we couldn't agree more!   #veeva #cloud #nowhiring #whyveeva  https://t.co/MRc2Yrr9p2
161	 Read how @Covance and @CelerionLNK streamline information sharing and collaboration to speed #clinicaltrials:  https://t.co/CfcwJ99MyH #VeevaSummitOnline  https://t.co/4zd18WD3Yo
162	 How do you create consistency across regions and affiliates while maintaining #compliance? Hear from Eisai on how they centralized #medical information to create intelligent insights for their organization.  https://t.co/F8oPHIaj5u  https://t.co/jeeDB7KhN2
163	 @SeagenGlobal, @ImmunomedicsInc, and @JanssenUS shared best practices for active TMF management to improve TMF quality at #VeevaSummitOnline.  https://t.co/CfcwJ99MyH  https://t.co/lBC0i8ijYG
164	 @integra_life has selected Veeva Vault CDMS to provide electronic data capture (EDC), coding, data cleaning, and reporting for future clinical trials. Read the press release here:  https://t.co/nXgYnQI9IZ
165	 #Virtual fatigue is real. HCPs miss the peer-to-peer interaction of in-person events. Here’s how to leverage that gap.  https://t.co/tMv2ayCL7t  https://t.co/AaQP5DC8GW
166	 How do you create consistency across regions and affiliates while maintaining #compliance? Hear from Eisai on how they centralized #medical information to create intelligent insights for their organization.  https://t.co/F8oPHIaj5u  https://t.co/zq3yYa8bQw
167	 Evaluating a #PV solution? Here are 9 key considerations #pharmacovigilance teams examine when evaluating new safety solutions.  https://t.co/sAz89f2fZX  https://t.co/UHCDpfCwGt
168	 Becoming a #PublicBenefitCorporation formally validates what Veeva has been telling customers for years, and they see that and appreciate it, says GC Josh Faddis in an interview with @CMarquisCornell @Forbes.  https://t.co/W55dnSeth2 #CustomerSuccess
169	 Automating study start-up enables faster #siteactivation, better #collaboration with study partners, and more informed decision-making:  https://t.co/dzkiHgSEXr
170	 @integra_life has selected Veeva Vault CDMS to provide electronic data capture (EDC), coding, data cleaning, and reporting for future clinical trials. Read the press release here:  https://t.co/nXgYnQI9IZ
171	 Just announced: Leading CDMO Samsung Biologics has adopted Veeva Vault QMS to streamline quality management on a single cloud platform. Read about it:  https://t.co/cYYess8Y7w
172	 COVID-19 opened the door to digital transformation in #lifesciences and now the shift toward remote HCP engagement is gaining serious traction. Read “The New Virtual Engagement Reality” from @PharmaVoice:  https://t.co/t0HRJsRe0b  #HCPengagement
173	 As #lifesciences companies consider partnering with Veeva over the long-term, becoming a #PublicBenefitCorporation gives customers confidence that Veeva will remain aligned with them for decades, writes @CMarquisCornell in @Forbes.  https://t.co/W55dnSeth2
174	 @AstraZeneca, @GSK, and @JanssenUS shared #clinicaltrial efficiency and collaboration best practices at #VeevaSummitOnline. Read the recap:  https://t.co/CfcwJ99MyH  https://t.co/HMQYnjEbBa
175	 If company culture isn’t already geared toward a multi-stakeholder approach, #PublicBenefitCorporation may not make sense, says Josh Faddis. Read why PBC aligns with Veeva’s core values and how it already operates in @Forbes.  https://t.co/W55dnSeth2 #CustomerSuccess
176	 A new article from @PharmaVoice discusses the lack of representation of racial and ethnic minority groups within clinical trials, and how pharma and biotech companies are taking steps to change that:  https://t.co/RCyvO4Uztq
177	 Becoming a #PublicBenefitCorporation sets up company structure allowing Veeva to establish long-term leadership for decades to come and achieve its vision of building the industry cloud for #lifesciences, via @CMarquisCornell @Forbes  https://t.co/W55dnSeth2 #CustomerSuccess
178	 [Article] Learn how artificial intelligence can improve the end-to-end #pharmacovigilance life cycle. Read now:  https://t.co/7wfYx0LUEi  https://t.co/rPOwZJiT6v
179	 Veeva's purpose is on something bigger, says Josh Faddis. “If we focus on...being a partner to the industry, making employees successful…and our impact to society, the financial results will follow.”  https://t.co/W55dnSeth2 #PublicBenefitCorporation @Forbes @CMarquisCornell
180	 A #ModularContent strategy speeds content creation and enables dramatically faster #MLR review. Get started now.  https://t.co/w9a76hVRaz #pharma #lifesciences #digitalcontent
181	 The adoption of purpose-built study start-up technology requires organizational buy-in and alignment. Learn the common barriers to change and best practices to overcome them in this new whitepaper:  https://t.co/9TV4vfGKTj
182	 Converting to a #PublicBenefitCorporation will help drive success for customers, employees, and shareholders over the long-term. General counsel, Josh Faddis, explains how in @Forbes with @CMarquisCornell.  https://t.co/W55dnSeth2 #NowHiring
183	 Veeva is # 15 on @FortuneMagazine's 100 Fastest-Growing Companies list for the fourth year in a row. We are proud to support #lifesciences customers' important mission in improving and extending human life.  https://t.co/hkPw9jl98j #cloud #nowhiring
184	 CEO Peter Gassner on #PublicBenefitCorporation “Aligning our purpose &amp; charter will give customers continued confidence to partner with Veeva over the long-term &amp; help attract world-class talent to the company for decades to come.”  https://t.co/W55dnSeth2 @CMarquisCornell @Forbes
185	 Necessity is the mother of invention. Companies on @FortuneMagazine’s #Future50 didn’t just survive adversity, but used it to adapt and help customers through COVID-19. Veeva is proud to join so many great companies on this year’s list.  https://t.co/S2gepHmO1r
186	 Veeva believes doing the right thing for customers &amp; employees is ultimately good for shareholders. Learn why the company aims to become the first publicly traded company to convert to a #PublicBenefitCorporation via @Forbes and @CMarquisCornell  https://t.co/W55dnSeth2 #NowHiring
187	 Vault Safety customers spoke at this year’s Veeva R&amp;D and Quality Summit, sharing their vision and experiences building a #unifiedsafety system. Learn how they are simplifying #pv processes:  https://t.co/3g1cltijiC  #drugsafety #pharmacovigilance  https://t.co/QQnFAI08Nl
188	 Veeva is # 2 on @FortuneMagazine’s #Future50! Our #Boston team is building innovative #software that makes it easier for patients to participate in #clinicaltrials. Join our team! #Engineering, #sales, #professionalservices jobs are open!  https://t.co/TEHxreV5Sx #nowhiring
189	 Is your organization like Eisai - do you constantly manage thousands of #medical inquiries? Maintaining #compliance is critical to making informed decisions. Learn how Eisai established a foundation to reduce disparities across the organization.  https://t.co/UCGWmwMH4B  https://t.co/pmqojxv2HZ
190	 Veeva SitVault and Vault Site Connect are the newest solutions from #Veeva that will give #sites to tools they need to improve #operations and #patientexperience. Learn about them from VP of Strategy, Jason Methia:  https://t.co/KWyUGpTblf
191	 How do you establish a strong data foundation for a commercial #pharma launch? Learn 5 tips for early-stage #lifesciences companies in this video:  https://t.co/Ug8ZpoDmCV  https://t.co/hwGzGujIe7
192	 Congratulations Veeva team for ranking # 2 on @FortuneMagazine’s #Future50 list of companies w/ the strongest long-term potential! We’re always looking for passionate, dedicated people. Join the team and help make a difference in people’s lives.  https://t.co/TEHxreV5Sx #nowhiring
193	 We're proud to support #lifesciences' important mission to improve and extend human life. Our customers’ partnership made it possible to rank # 2 on @FortuneMagazine’s #Future50 list of companies that will be thriving decades from now!  https://t.co/TEHxreV5Sx #nowhiring
194	 Actions during clinical development, commercialization, and launch predict 81% of future drug sales performance. Plan for success with the right actions at the right time.  https://t.co/FyBv7KI3Rg  https://t.co/OT9IHv6oeD
195	 Automating study start-up enables faster #siteactivation, better #collaboration with study partners, and more informed decision-making:  https://t.co/dzkiHgB45T
196	 Congratulations to the Veeva team for being named # 15 on @FortuneMagazine magazine's 100 Fastest-Growing Companies list. Your dedication to customer success and focus on innovation make a difference in getting medicines to the patients that need them!  https://t.co/CsZA2IAWZi
197	 Is your organization like Eisai - do you constantly manage thousands of #medical inquiries? Maintaining #compliance is critical to making informed decisions. Learn how Eisai established a foundation to reduce disparities across the organization.  https://t.co/UCGWmwMH4B  https://t.co/b1RpXkAX9z
